,Frequency,hood
85,19,East New York
20,14,Financial District
142,12,Washington Heights
98,12,Williamsburg
91,12,Bushwick
148,11,Harlem
95,11,Bedford Stuyvesant
0,11,Astoria
8,11,Midtown
6,9,Upper East Side
17,9,Tribeca
24,9,Downtown
160,9,Upper West Side
43,9,Flatbush
10,9,Garment District
265,8,Elmhurst
115,8,Greenwich Village
101,8,Lower East Side
62,7,Bensonhurst
7,7,Central Park
139,7,Crown Heights
12,7,Flatiron District
274,7,Hunters Point
419,7,Williamsbridge
190,6,Ozone Park
218,6,Concourse
164,6,Chelsea
76,6,Gravesend
26,6,Park Slope
255,6,Jamaica
371,6,Longwood
375,6,Mott Haven
206,5,Far Rockaway
393,5,East Harlem
32,5,Sunset Park
107,5,Ridgewood
269,5,Woodside
212,4,Bedford Park
260,4,Forest Hills
39,4,Fort Greene
41,4,Prospect Lefferts Gardens
273,4,Sunnyside
16,4,SoHo
79,4,Richmond Hill
66,4,Bath Beach
59,4,Borough Park
361,3,Pelham Bay
403,3,Murray Hill
202,3,Rockaway Park
247,3,Ocean Parkway
244,3,Kensington
348,3,Brownsville
368,3,Soundview
433,3,Melrose
364,3,Westchester Heights
18,3,Chinatown
215,3,Tremont
82,3,Woodhaven
56,3,Coney Island
29,3,Greenwood
50,3,Homecrest
141,3,Inwood
177,3,Clinton Hill
383,2,University Heights
305,2,Hamilton Heights
341,2,Prospect Heights
64,2,New Utrecht
54,2,Brighton Beach
48,2,Midwood
385,2,Morris Heights
284,2,Greenpoint
387,2,High Bridge
37,2,Fort Hamilton
35,2,Bay Ridge
417,2,Wakefield
427,2,West Farms
429,2,South Bronx
23,2,Brooklyn Heights
445,2,Pelham Gardens
450,2,Corona
295,2,Kingsbridge
307,2,Morningside Heights
211,2,Norwood
117,2,East Village
194,2,South Ozone Park
213,2,Fordham
239,2,Gowanus
242,2,Windsor Terrace
136,2,Canarsie
183,2,Ocean Hill
199,2,Broad Channel
15,2,NoHo
447,1,Morris Park
448,1,Flushing
223,1,Roosevelt Island
444,1,Baychester
443,1,Eastchester
198,1,John F. Kennedy International Airport
449,1,Flushing Meadows Corona Park
472,1,Clinton
426,1,Van Nest
294,1,Riverdale
237,1,Boerum Hill
410,1,Little Italy
236,1,DUMBO
276,1,Sutton Place
238,1,Carroll Gardens
152,1,Manhattanville
259,1,Kew Gardens
53,1,Sheepshead Bay
367,1,Parkchester
264,1,Rego Park
347,1,East Flatbush
114,1,West Village
205,1,Arverne
297,1,Marble Hill
201,1,Rockaway Beach
