,id,Date,route_id,arrival,departure,stop_id,schedule_relationship
0,112250_A..N,20180519,A,1526773662,1526773662,A09N,0.0
1,111951_A..S,20180519,A,1526773595,1526773595,H03S,0.0
2,113200_A..N,20180519,A,1526773660,1526773660,A24N,0.0
3,113050_A..S,20180519,A,1526773565,1526773565,A51S,0.0
4,113850_A..S,20180519,A,1526773660,1526773660,A51S,0.0
5,114253_A..N,20180519,A,1526773660,1526773660,A31N,0.0
6,114800_A..S,20180519,A,1526773660,1526773660,A42S,0.0
7,115250_A..N,20180519,A,1526773655,1526773655,A40N,0.0
8,115805_A..S,20180519,A,1526773660,1526773660,A34S,0.0
9,116346_A..N,20180519,A,1526773530,1526773530,A46N,0.0
10,116601_A..S,20180519,A,1526773610,1526773610,A28S,0.0
11,117050_A..N,20180519,A,1526773495,1526773495,A55N,0.0
12,117800_A..S,20180519,A,1526773605,1526773605,A15S,0.0
13,118238_A..N,20180519,A,1526773660,1526773660,A60N,0.0
14,118750_A..S,20180519,A,1526773661,1526773661,A09S,0.0
15,111100_C..N,20180519,C,1526773579,1526773579,D13N,0.0
16,112300_C..S,20180519,C,1526773660,1526773660,A54S,0.0
17,112450_C..N,20180519,C,1526773615,1526773615,A24N,0.0
18,113300_C..N,20180519,C,1526773663,1526773663,A24N,0.0
19,113400_C..S,20180519,C,1526773655,1526773655,A46S,0.0
20,114340_C..N,20180519,C,1526773655,1526773655,A25N,0.0
21,114150_C..S,20180519,C,1526773661,1526773661,A41S,0.0
22,116200_C..N,20180519,C,1526773660,1526773660,A41N,0.0
23,115300_C..S,20180519,C,1526773660,1526773660,A36S,0.0
24,117650_C..S,20180519,C,1526773660,1526773660,A20S,0.0
25,116450_C..S,20180519,C,1526773660,1526773660,A28S,0.0
26,118100_C..N,20180519,C,1526773662,1526773662,A50N,0.0
27,118500_C..S,20180519,C,1526773660,1526773660,A15S,0.0
28,113200_E..S,20180519,E,1526773650,1526773650,A34S,0.0
29,113750_E..N,20180519,E,1526773650,1526773650,G07N,0.0
30,114400_E..S,20180519,E,1526773645,1526773645,A30S,0.0
31,115050_E..N,20180519,E,1526773585,1526773585,G14N,0.0
32,115600_E..S,20180519,E,1526773651,1526773651,D14S,0.0
33,116300_E..N,20180519,E,1526773590,1526773590,F11N,0.0
34,116800_E..S,20180519,E,1526773290,1526773290,G08S,0.0
35,117468_E..N,20180519,E,1526773650,1526773650,A27N,0.0
36,118000_E..S,20180519,E,1526773650,1526773650,F06S,0.0
